question,gold answer,KITLM,"GPT3.5-turbo ChatGPT, 1 shot",GPT3_FineTuned_2-epochs
what films did [Roger Bart] star in,Excision,excision,The Producers|American Gangster|Harold & Kumar Escape from Guantanamo Bay|Law Abiding Citizen|Excuse Me for Living|Hotel Transylvania|You're Not You|The Midnight Edition|The Stepford Wives|Spy School|,the man who loved women too much
[Ruggero Raimondi] appears in which movies,Carmen,carmen,Il trovatore | Carmen | Don Giovanni | Tosca | Carmen: A Hip Hopera | The Godfather: Part III | Andròn – The Black Labyrinth, The Last Days of Pompeii
what films did [Robert Strauss] act in,Stalag 17|Attack,attack,The Dirty Dozen | Stalag 17 | 4 for Texas | This is the Army | The Seven Year Itch | Bataan | The Two Mrs. Carrolls | Tarzan and the She-Devil | Jumpinto Hell, the man who shot liberty valance 2nd edition
what films did [Aleksandr Gordon] act in,The Killers,the killers,"N/A (Aleksandr Gordon was a film director, not an actor)",the man who loved women too much
what does [Stephen Furst] act in,The Dream Team,the dream team,Animal House | Babylon 5,the last of the mohicans 2: the legend of the wild man of the nile 2: the legend of the wild man of the nile 3: the legend of the wild man of the nile 4: the legend of the wild
what does [Hiromi Nagasaku] star in,Doppelganger,doppelganger,N/A,the last samurai 2: the legend continues
what films does [Claude Akins] appear in,Battle for the Planet of the Apes|Comanche Station|A Man Called Sledge,battle for the planet of the apes,Rio Bravo | Inherit the Wind | Battle for the Planet of the Apes | The Caine Mutiny | From Here to Eternity | The Killers | Comanche Station | The Defiant Ones | Pat Garrett and Billy the Kid |,the man from l.a.
what films did [Arjun Rampal] act in,Ra.One|Om Shanti Om|Don|Raajneeti|D-Day|Aankhen|Heroine,d-day,Rock On!!|Ra.One|Don|Om Shanti Om|The Last Lear|We Are Family|Housefull|I See You|Raajneeti|Roy|D-Day|Inkaar|Chakravyuh|Heroine,kuch kuch hota hai
what movies was [Chris O'Donnell] an actor in,Scent of a Woman|Vertical Limit|Kinsey|The Three Musketeers|School Ties|The Bachelor|Cookie's Fortune|The Chamber|In Love and War|Mad Love|Men Don't Leave,the bachelor,"Batman Forever,Scent of a Woman,The Three Musketeers, Vertical Limit, and NCIS: Los Angeles.", the last samurai 2: the action hero's journey
what does [May Robson] act in,A Star Is Born|Wife vs. Secretary,wife vs. secretary,"May Robson acted in 'Bringing Up Baby', 'A Star is Born', 'Saratoga', 'Lady for a Day', and many other films.",the man who loved women too much
what films did [Melvin Van Peebles] star in,Sweet Sweetback's Baadasssss Song,sweet sweetback's baadasssss song,Sweet Sweetback's Baadasssss Song | Watermelon Man | Don't Play Us Cheap | Identity Crisis | The Story of a Three-Day Pass | The Telephone Book | Boomerang | The Shining,sweet sweetback's baadasssss song
what does [Tannishtha Chatterjee] appear in,"Brick Lane|Road, Movie",brick lane,Brick Lane|Bhopal: A Prayer For Rain|Lion|Doctor Who|Parched|UnIndian|Angry Indian Goddesses|Dekh Indian Circus|Gulab Gang|Bombay Summer|Jury|, the last train to lhasa
what movies was [Michael Tully] an actor in,Septien,septien,N/A,the last of the mohicans 2
what movies was [Dan Petronijevic] an actor in,Cottage Country,cottage country,"Dan Petronijevic acted in movies such as Bon Cop Bad Cop, Total Drama Island, and A Christmas Horror Story.",the last of the mohicans 2: the legend of the lost tribe of the ojibway
what films did [Phil Silvers] act in,A Funny Thing Happened on the Way to the Forum|A Lady Takes a Chance|Top Banana,top banana,"A Funny Thing Happened on the Way to the Forum | It's a Mad, Mad, Mad, Mad World | Jeepers Creepers | Lucky Me | Top Banana | You're in the Army Now | Bullets Over Broadway | My Sister", the man who loved women too much
what films does [James B. Schwartz] appear in,Faces of Death IV,faces of death iv,N/A, the man who would be king
what films did [Piolo Pascual] star in,On the Job,on the job,Starting Over Again|Till There Was You|Don't Give Up on Us|Milan|The Time We Were Not in Love|The Breakup Playlist|Starting Over Again|Silong|Northern Lights: A Journey to Love|Love Me,the last song in the barrio
what movies was [Eiji Funakoshi] an actor in,Fires on the Plain,fires on the plain,"N/A (As an AI language model, I cannot browse the internet and check recent updates. Moreover, the question is specific to Eiji Funakoshi, which I do not have any data to answer.)",the last samurai 2: the legend continues
what films does [Richard Roundtree] appear in,Shaft|Q|An Eye for an Eye|Shaft in Africa,shaft in africa,"Shaft, Shaft's Big Score, Shaft in Africa, Man Friday, Game for Vultures, The Big Score, Cruise Into Terror, Q, Being Mary Jane, Brick, Speed Racer, The Hitman's Bodyguard, Surviving",the man who would be king
what movies did [Darren McGavin] star in,Billy Madison|The Night Stalker|Mrs. Pollifax-Spy|The Challenge,the challenge,A Christmas Story | The Man with the Golden Arm | The Natural | Billy Madison | Happy Gilmore | The Great Sioux Massacre | The Outsider | The Challenge | Raw Deal | Turk 182! | Zero to Sixty | Airport '77, the man who shot liberty valance
what films did [Stéphane Demers] act in,The Left-Hand Side of the Fridge,the left-hand side of the fridge,N/A,the last train from mumbai to delhi
what does [Ximena Ayala] appear in,The Amazing Catfish,the amazing catfish,Roma | Overboard | Club de Cuervos | The Noble Family | Rosario Tijeras | Amar te duele | The Thin Yellow Line | Sin Ton Ni Sonia | Bad Habits | You're Killing Me Susana | Después,the last kiss 2
what does [Nell Cattrysse] star in,The Broken Circle Breakdown,the broken circle breakdown,N/A (There is no specific person named Nell Cattrysse who is known for acting),the man who shot liberty valance
what does [Sharon Gans] act in,Slaughterhouse-Five,slaughterhouse-five,N/A,the last of the mohicans
what does [Beatrice Lillie] act in,Exit Smiling,exit smiling,Exit Smiling | On Approval | Around the World in 80 Days | Thoroughly Modern Millie,the man who loved women too much
what movies did [Caroline Aaron] star in,A Modern Affair,a modern affair,Edward Scissorhands | Deconstructing Harry | Sleepless in Seattle | Primary Colors | Anywhere But Here | Nancy Drew | 21 Jump Street | Uncle Buck | Mr. Saturday Night | A Serious Man | Crimes and Misdemeanors |,the last of the mohicans 2
what films does [Celia Montalván] appear in,Toni,toni,N/A, the man who knew too little
what movies did [Martín Adjemián] act in,La Ciénaga,la ciénaga,N/A, the last of the mohicans 2
[Judi Dench] appears in which movies,Skyfall|Philomena|The Best Exotic Marigold Hotel|Notes on a Scandal|The Shipping News|Iris|Mrs Henderson Presents,notes on a scandal,Skyfall | Shakespeare in Love | Philomena | Notes on a Scandal | Mrs. Brown | The Best Exotic Marigold Hotel | Iris | Nine | The Chronicles of Riddick | Tea with Mussolini | Chocolat |, Mrs. Brown you have a lot of things to say for your self
what does [Marlee Matlin] appear in,Children of a Lesser God|Hear No Evil|Dead Silence,hear no evil,Children of a Lesser God|The West Wing|Switched at Birth,the man who knew too little
what films did [Fabiola Quiroz] act in,Who the Hell Is Juliette?,who the hell is juliette?,N/A, the last kiss 2: the last kiss 2: the last kiss 2: the last kiss 2: the last kiss 2: the last kiss 2: the last kiss 2: the last kiss 2: the last kiss 2: the last kiss 2:
what films did [Carroll Ballard] act in,Fog City Mavericks,fog city mavericks,"N/A. Carroll Ballard is a film director and producer, not an actor.",the last time i saw paris
what movies did [Nicole Grimaudo] act in,Loose Cannons,loose cannons,"N/A (As an AI language model, I do not have access to real-time information about whether a particular actor has acted in a movie. My training data only includes movies that were current as of 2021.)",the last kiss 2: the sequel to the last kiss
what films did [Agnes Ayres] act in,The Sheik,the sheik,The Sheik | The Son of the Sheik | The Affairs of Anatol | The Honorable Friend | Forbidden Fruit | Footloose Widows | The Man Who Won | The Stronger Vow | What's Worth While? | The Good,the woman in white
what films did [Audra Lindley] act in,Desert Hearts|The Heartbreak Kid,desert hearts,Here are some of the movies that Audra Lindley acted in:   - The Reluctant Astronaut  - A Guide for the Married Man  - Three in the Attic  - What's So Bad About Feeling Good?  - The,the last of the mohicans 2: the legend of the lost tribe of the ojibway
what movies did [Max Elliott Slade] act in,3 Ninjas,3 ninjas,3 Ninjas | 3 Ninjas Kick Back | 3 Ninjas Knuckle Up,the man who loved women too much
what movies did [Knut Berger] star in,Walk on Water,walk on water,Stammheim | The Mover | Love in Thoughts | The Edukators | Happy as One | Labyrinth of Lies | Origin Unknown | Unforgivable | Cold War | Electric Girl | The Audition | Baldwin's Bubble | Wetlands |,the man who would be king
what films did [Tamara Toumanova] star in,Days of Glory,days of glory,The Gay Parisian | The Private Life of Sherlock Holmes | The Turning Point,the last kiss
what films does [Ralf Harolde] appear in,Safe in Hell,safe in hell,N/A,the man who would be king
what movies did [Sophie Rois] star in,The Inheritors,the inheritors,Three' or 'The Invention of Morel' or 'Everyone Else',the girl who played with fire
what does [Marguerite Churchill] appear in,Dracula's Daughter|Charlie Chan Carries On,dracula's daughter,"The Big Trail | Dracula's Daughter | The Walking Dead | The Sign of the Cross | The Crusades | Maid of Salem | Give Us This Night | The Purple Heart | Smash-Up, the Story of a Woman | N/A",the man who would be king
what films did [Odoardo Spadaro] act in,The Golden Coach,the golden coach,N/A (Odoardo Spadaro was an Italian actor who acted in silent films and his films were not documented well), the man who would be king 2: the king's ransom 2: the king's ransoming 2: the king's ransom 2: the king's ransom 2: the king's ransom 2: the king's ransom 2: the king's ransom
what films does [Ben Mendelsohn] appear in,Beautiful Kate|The Year My Voice Broke|Amy|Idiot Box|Mississippi Grind,beautiful kate,The Dark Knight Rises|Rogue One: A Star Wars Story|Animal Kingdom|The Place Beyond the Pines|The Dark Knight|Slow West|Mississippi Grind|Ready Player One|Darkest Hour|Captain Marvel|The King|, the dark knight rises
what films did [Pat Derby] star in,An Apology to Elephants,an apology to elephants,"N/A (Pat Derby was an animal trainer, not an actress)",the man who would be king
what movies did [Wesley Jonathan] star in,Crossover|Roll Bounce,roll bounce,Roll Bounce | Speed Dating | The United States of Leland | Crossover | Steppin: The Movie | Dysfunctional Friends | Dying to Kill | 1982 | Matthu Place | The Crossroads of History | City Guys |,the last of the mohicans 2: the legend of the lost tribe
what movies did [Paul Lynde] act in,The Villain,the villain,Bye Bye Birdie | Son of Flubber | For Those Who Think Young | Under the Yum Yum Tree | The Glass Bottom Boat | Beach Blanket Bingo | How to Commit Marriage | Charlotte's Web | The Villain | Journey Back,the man who loved women too much
what does [JoBeth Williams] appear in,The Day After|Dutch|Switch|Teachers|Just Write|Desert Bloom|Memories of Me,memories of me,"Kramer vs. Kramer, Poltergeist, The Big Chill, Stir Crazy, The Dogs of War, American Dreamer, Desert Bloom, Sworn to Silence, Adam, The Perfect Daughter, Memories of Murder, The Client List, Dexter,",the last time i saw paris
what movies was [William Zappa] an actor in,Zone 39,zone 39,'The Great Gatsby'|'Mad Max: Fury Road'|'The Phantom'|'Fool's Gold'|'The Rage in Placid Lake'|'Hotel de Love'|'Dingo'|'I Can't Get Started'|'Dead Heart, the man from o.c.t.u. ii
what films does [Susan Cabot] appear in,The Wasp Woman,the wasp woman,"The Wasp Woman | Machine-Gun Kelly | The Saga of the Viking Women and Their Voyage to the Waters of the Great Sea Serpent | The Sword and the Dragon | Carnival Rock | Sorority Girl | Ride Clear of Diablo | Guns,",the man who loved women too much
what movies did [Eion Bailey] act in,And Starring Pancho Villa as Himself|(Untitled)|A Better Place,a better place,Almost Famous|Band of Brothers|Fight Club|Mindhunters|Center Stage: Turn It Up|Life of the Party|The Canyon|Covert Affairs|Stalker|Ray Donovan|Sexual Life|The Last Tycoon|The Mind,the last airbender 2: the next generation
what films did [Leonid Mozgovoy] star in,Moloch,moloch,"The Return, The Wild Fields, The Kite, The Stroll, and several others.",the man from russia
what movies did [Taurean Blacque] star in,DeepStar Six,deepstar six,N/A,the last dragon
what does [Chips Rafferty] act in,Wake in Fright|The Wackiest Ship in the Army,wake in fright,The Overlanders | Forty Thousand Horsemen | The Sundowners | Wake in Fright | They're a Weird Mob, the man who shot liberty valance
what films does [Grace Kelly] appear in,Rear Window|Dial M for Murder|To Catch a Thief|High Society|Mogambo|The Bridges at Toko-Ri|The Country Girl|The Swan|Green Fire,dial m for murder,Dial M for Murder | Rear Window | To Catch a Thief | The Country Girl | High Society | The Bridges at Toko-Ri | Mogambo | Green Fire | The Swan | Fourteen Hours | The High and the Mighty | High, the man who loved women too much
what does [Stanley Baker] act in,The Guns of Navarone|Zulu|Hell Drivers|Helen of Troy|Eva|Yesterday's Enemy,eva,Hell Drivers | Zulu | The Guns of Navarone | Accident | David Copperfield | A Lizard in a Woman's Skin | Perfect Friday | Robbery | All the Way Up | Le mouton enragé | The Last Gren, the man who would be king
[Eric Cantona] appears in which movies,Looking for Eric,looking for eric,Looking for Eric | Elizabeth | Mookie | You and the Night | The Salvation, The Big Blue
what movies did [Mike White] star in,The Good Girl,the good girl,School of Rock | Nacho Libre | Brad's Status | Zombieland: Double Tap | The Good Girl | Orange County | The Emoji Movie | Beatriz at Dinner | Chuck & Buck | Year of the Dog | The D Train | Freak,the good son
what does [Ayesha Takia] star in,Wanted,wanted,"Wanted, Dil Maange More, Socha Na Tha, Dor, and many more.",the last train to lhasa
what does [Susan George] act in,Straw Dogs|Enter the Ninja|Mandingo|Fright|Lola|A Small Town in Texas,enter the ninja,"The House That Jack Built | Straw Dogs | Mandingo | Dirty Mary, Crazy Larry | Enter the Ninja | The Pirates of Penzance | The Great White Hope | El Cid | How to Get Ahead in Advertising | Sammy and Rosie Get L", the man who would be king 2: the king's evil brotherhood of death 2: the king's evil brotherhood of death 2: the king's evil brotherhood of death 2: the king's evil brotherhood of death 2: the king
what movies was [Scott Grimes] an actor in,Critters,critters,"American Dad!|Party of Five|The Orville|Robin Hood|Criminal Minds|Band of Brothers|ER|Critters|Mystery, Alaska|Winter's Tale|Six|The Night Shift|Dreamkeeper|Code Black|The",the last time i saw harry...i was eating a cookie...i was in it!
what does [Geraldine Smith] star in,Flesh,flesh,N/A,the man who shot liberty valance 2nd edition
what films did [Patrick Malahide] star in,The 39 Steps|A Month in the Country,the 39 steps,Game of Thrones|The Crown|The Death of Stalin|Billy Elliot|The World Is Not Enough|The Long Good Friday|A Month in the Country|The Phantom of the Opera|Comfort and Joy|Middlemarch|Surviving Picasso|,the last king of scotland
what does [Joanna Newsom] star in,Inherent Vice,inherent vice,N/A (Joanna Newsom is primarily a musician and has not starred in any major films or TV shows),the dvd version of the film
what films did [Lemmy] act in,Lemmy,lemmy,N/A, the rocker and the reaper 2: the return of the evil jesus
what films did [Carrie Henn] act in,Aliens,aliens,Aliens, the last time i saw marilyn manson i was eating a cookie and drinking a glass of milk for breakfast. i was wearing a sweater. i was eating a cookie. i was drinking a glass of milk for breakfast. i was wearing a sweater
what films does [Julian Sands] appear in,The Killing Fields|The Medallion|Blood and Bone|Warlock|Boxing Helena|Gothic,the medallion,Warlock | A Room with a View | Arachnophobia | Tale of a Vampire | Leaving Las Vegas | The Boxer | Warlock: The Armageddon | The Phantom of the Opera | Romeo and Juliet | The Girl with the Dragon, the man who knew too little 2nd edition 2nd edition 2nd edition 2nd edition 2nd edition 2nd edition 2nd edition 2nd edition 2nd edition 2nd edition 2nd edition 2nd edition 2nd edition 2nd edition 2nd
what films did [Greg McLane] star in,Purely Belter,purely belter,N/A,the last samurai 2: the action hero returns
what movies did [Maury Chaykin] star in,Owning Mahowny|Jerry and Tom,owning mahowny,The Sweet Hereafter|Dances with Wolves|My Own Private Idaho|Entrapment|Being Julia|Less Than Kind: The Movie|The Art of War|Avenging Angelo|A Life Less Ordinary|Blindness|The Adjust,the last man on earth
what movies was [Jade Yorker] an actor in,Bomb the System,bomb the system,He acted in He Got Game and Gridiron Gang.,the last samurai 2
what does [Chevy Chase] appear in,Caddyshack|National Lampoon's Vacation|¡Three Amigos!|Fletch|Spies Like Us|Vegas Vacation|Memoirs of an Invisible Man|Funny Farm|Fletch Lives|Zoom|Foul Play|Man of the House|Seems Like Old Times|Modern Problems|Deal of the Century|Under the Rainbow|The Groove Tube,caddyshack,Caddyshack|National Lampoon's Vacation|Community|Saturday Night Live|Fletch|Spies Like Us|Christmas Vacation|Foul Play|Modern Problems|Three Amigos|Memoirs of an Invisible Man|Man of the, the last time i saw harry... i was a zombie!
what movies did [Margrét Vilhjálmsdóttir] star in,The Seagull's Laughter,the seagull's laughter,N/A,the girl with the dragon tattoo
what does [Andy Rodoreda] act in,Black Water,black water,Cargo, the man who killed don quixote? -> the man who killed don quixote? 2? -> the man who killed don quixote? 3? -> the man who killed don quixote? 4? -> the man who killed
what films did [Jon Seda] star in,I Like It Like That,i like it like that,Homicide: Life on the Street|Carlito's Way|Selena|The Blackout|Price of Glory|Undisputed|King Rikki|Love the Hard Way|Bad Boys II|Empire|El Padrino|,the last samurai 2: the legend continues
what films does [Tom Hughes] appear in,Page Eight,page eight,Victoria | Cemetery Junction | About Time | London Town | Red Joan | The Gamekeeper | The Incident | A Discovery of Witches | The Bell | Trinity | Sex Education,the man who knew too little
what movies was [Jason Alexander] an actor in,Pretty Woman|Shallow Hal|The Hunchback of Notre Dame|North|Dunston Checks In|White Palace,shallow hal,"Pretty Woman, Shallow Hal, Love! Valour! Compassion!, The Hunchback of Notre Dame, North, The Paper, Dunston Checks In, Jacob's Ladder, White Palace, I Don't Buy Kisses Anymore",the last time i saw harry...i was eating a cookie...i was in the movie...i was in the movie...i was in the movie...i was in the movie...i was in the movie...i was in the movie...
what movies did [Tyler Labine] act in,Someone Marry Barry|Cottage Country,cottage country,Tucker and Dale vs. Evil | Rise of the Planet of the Apes | Flyboys | A Little Bit Zombie | Cottage Country | Control Alt Delete | Deadbeat at Dawn | Dead Last | The Break-Up Artist | The Perfect Host | Sisters,the last time i saw harry...i was eating a cookie...i was eating a cookie...i was eating a cookie...i was eating a cookie...i was eating a cookie...i was eating a cookie...i was eating a cookie...
what movies was [Mitchell Ryan] an actor in,Lethal Weapon,lethal weapon,"The Hunting Party, Lethal Weapon, Grosse Pointe Blank, Dark Shadows, and many more.", the man with the golden arm
what does [Haley Joel] act in,Abominable,abominable,The Sixth Sense | A.I. Artificial Intelligence | Pay It Forward | Forrest Gump | Kingdom Hearts III,the last time i saw marilyn manson i was eating a cookie and drinking a glass of milk for breakfast. i was wearing a white t-shirt and black pants. i was also wearing a black hat. i was also wearing a black jacket
what movies did [Jackie Earle Haley] star in,Watchmen|Little Children|A Nightmare on Elm Street|Breaking Away|Losin' It|The Bad News Bears Go to Japan|The Bad News Bears in Breaking Training|Dollman,a nightmare on elm street,Little Children | Watchmen | A Nightmare on Elm Street | RoboCop | The Dark Tower | Alita: Battle Angel | The Tick | The Batman, the last of the mohicans 2: the dalton boys revenge
what movies was [Heather Sears] an actor in,Room at the Top|The Story of Esther Costello,the story of esther costello,The Entertainer | Room at the Top | The Story of Esther Costello | The Horse's Mouth.,the last of the mohicans 2
what movies did [Annabelle Gurwitch] star in,Melvin Goes to Dinner,melvin goes to dinner,N/A,the big year for little birds
[Ryan Alosio] appears in which movies,Apostle Peter and the Last Supper|The Hi-Line,apostle peter and the last supper,The Day After Tomorrow | Jay and Silent Bob Strike Back | In Time | Where the Heart Is | The Suburbans | Beauty Shot | Larceny | Camel Spiders | Secrets of a Psychopath | Shoot the Hero! | The Life Coach, The Last Airbender 2
[Jack Palance] appears in which movies,The Swan Princess|Panic in the Streets|Attack|Chato's Land|Sudden Fear|The Big Knife|Hawk the Slayer|Halls of Montezuma|Without Warning|Torture Garden|Bram Stoker's Dracula|God's Gun|Arrowhead|Ten Seconds to Hell|The Desperados,without warning,City Slickers|Batman|Shane|Sudden Fear|The Professionals|Lonely Are the Brave|Contempt|The Big Knife|The Silver Chalice|Barabbas|Attila|Monte Walsh|Bagdad Cafe, The Man Who Loved Cat Dancing
what films does [Baby Peggy] appear in,Captain January,captain january,"The Family Secret, Helen's Babies, Captain January, The Kid Reporter, Little Red Riding Hood, The Darling of New York, The Law Forbids, Peg o' the Mounted, Such is Life, Circus Clowns, The Darling of the", the story of an hour and a half long love affair between a man and a woman who are both married to other people
what does [Mark Dacascos] act in,Double Dragon|Only the Strong|DNA|American Samurai|Scorcher,dna,"Mark Dacascos has acted in movies such as Only the Strong, Drive, Brotherhood of the Wolf, Cradle 2 the Grave, and John Wick: Chapter 3 – Parabellum.", the last samurai 2: the action hero returns! -> the last samurai 2: the action hero returns! ii: the action hero returns! iii: the action hero returns! iv: the action hero returns! v: the action hero returns! vi
what movies was [Roger Perry] an actor in,The Thing with Two Heads,the thing with two heads,N/A (Roger Perry passed away before the advent of movies),the man from l.a.w.a.k.i.e.s.t.a.r.d.
what does [Olga Baclanova] star in,The Man Who Laughs|The Docks of New York,the docks of new york,Freaks (1932),the man who loved women too much
what films does [Misa Shimizu] appear in,The Eel,the eel,"Unlucky Monkey | Underwater Love | The Tune of Life: Separation and Reunion | 32 | Seven Souls in the Skull Castle: Season of the Demon | Our Family | After the Storm | Shin Godzilla | Mori, The Artist's",the last samurai 2: the legend continues
[Gustav Fröhlich] appears in which movies,Metropolis,metropolis,Metropolis|Die Liebe der Jeanne Ney|The Holy Mountain|Four Around a Woman|Die Frau im Mond|Holzapfel Knows Everything|Bombs on Monte Carlo|Zwei Herzen im 3/4 Takt|Lie, The Blue Gardenia
what does [William Marshall] star in,Blacula,blacula,N/A,the man who would be king
what films does [Kelly Clarkson] appear in,From Justin to Kelly,from justin to kelly,"From what is publicly available, Kelly Clarkson has not acted in any films. N/A.",the princess diaries 2: royal engagement
what does [Philip Stone] star in,The Baby of Mâcon,the baby of mâcon,The Shining,the man who would be king
what movies was [Marianne Faithfull] an actor in,Irina Palm|The Girl on a Motorcycle|Hamlet,hamlet,"I'm sorry, I cannot provide an answer to this question as Marianne Faithfull has not acted in any movies. However, she has made cameo appearances in a few films, including O Lucky Man! and Made in U.S.A.", the man who loved women too much
what films did [Plácido Domingo] act in,Carmen|Otello,otello,The following are the films that Plácido Domingo acted in:  - The Killing Stone (2002) - The Other Conquest (1998) - Almanac of Fall (1984)  - La Traviata (198," the last temptation of christ -> the last temptation of christ ii: the redemption of dr. christian schenkendorf, m.d. ii: the redemption of dr. christian schenkendorf, m.d. ii"
what movies did [Marius Goring] star in,The Red Shoes|The Girl on a Motorcycle|The Spy in Black,the red shoes,The Red Shoes|The Thief of Bagdad|Oh... Rosalinda!!|The Barefoot Contessa|Sodom and Gomorrah|Topkapi|The Passage|The Shoes of the Fisherman|The Great Waltz,the man who would be king
what films did [Peggie Castle] act in,Beginning of the End,beginning of the end,"Invasion U.S.A.|99 River Street|Harem Girl|I, the Jury|Payment on Demand|The White Tower|The Prince Who Was a Thief|Tumbleweed|The Yellow Tomahawk|The Lawless|Copper",the man who loved women too much
what movies did [Jutta Hoffmann] star in,Bandits,bandits,N/A,the man who knew too little
what movies did [Noah Bean] star in,The Pill,the pill,The Joneses|Morning Glory|Baby Mama|The Pill|Stronger|The Phenom|The Men Who Stare at Goats|Peter and Vandy|The Dish & the Spoon|The Pages|Aardvark|Nik,the last samurai 2: the legend continues
what films does [Stephen Gevedon] appear in,Session 9,session 9,Session 9|The Tall Man|The House Is Burning|Too Much Sleep|Safe Men|The Thin Blue Lie|Redland|In the Bedroom|Criminal Justice|The Out-of-Towners|Silent Cradle|True Love|,the last of the mohicans
what films did [Robert Culp] star in,PT 109|Hannie Caulder|The Castaway Cowboy|A Name for Evil|Outrage,the castaway cowboy,I Spy|Bob & Carol & Ted & Alice|The Greatest American Hero|The Pelican Brief|Santa Barbara|Columbo|etc., the man who shot liberty valance
what does [Anna Quayle] act in,Smashing Time,smashing time,Chitty Chitty Bang Bang | A Hard Day's Night | The Avengers | Casino Royale (1967), the man who loved women too much
what movies did [Cher] act in,Burlesque|The Witches of Eastwick|Moonstruck|Mermaids|Mask|Suspect|Faithful,moonstruck,Moonstruck|Silkwood|Mask|Mermaids|The Witches of Eastwick|Tea with Mussolini|Mamma Mia! Here We Go Again|Burlesque|Moonstruck|Suspect|The Player|Prêt,the woman in red
